Name of the game,Fit platform,Num Of comments,Num Of likes,Raiting,Grade,Num of pros,Num of cons,First Released,The game rviewer,The date of the review
"Call Of Duty: Modern Warfare 2 Multiplayer Review - Meet The New COD, Same As The Old COD",PS5,45,5,Good,7,3.0,4.0,"Oct 28, 2022","
    S.E. Doster
  ","November 1, 2022 at 8:52PM PDT"
Signalis Review - Silent Thrill,XONE,15,5,Great,8,3.0,2.0,"Oct 27, 2022","
    Mark Delaney
  ","November 1, 2022 at 2:42PM PDT"
Marvel Snap Review - MCCGU,IOS,16,8,Superb,9,5.0,2.0,"Oct 18, 2022","
    Steve Watts
  ","October 26, 2022 at 11:22AM PDT"
Ghostbusters: Spirits Unleashed Review - Into The Ether,PS5,8,4,Fair,6,3.0,3.0,"Oct 18, 2022","
    Jason Fanelli
  ","October 26, 2022 at 10:53AM PDT"
Bayonetta 3 Review - Real Hot Girls Hit,NS,137,28,Superb,9,4.0,2.0,,"
    Jessica Howard
  ","October 25, 2022 at 5:43PM PDT"
Resident Evil Village - Winters' Expansion Review - This Rose Doesn't Bloom,PC,51,6,Fair,6,3.0,3.0,"May 7, 2021","
    Richard Wakeling
  ","October 24, 2022 at 11:27AM PDT"
Call Of Duty: Modern Warfare 2 Campaign Review - Just Like Old Times,PS5,47,13,Great,8,3.0,1.0,"Oct 28, 2022","
    S.E. Doster
  ","October 21, 2022 at 7:55PM PDT"
Mario + Rabbids: Sparks of Hope Review - This Sparks Joy,NS,13,7,Superb,9,4.0,1.0,"Oct 20, 2022","
    Steve Watts
  ","October 21, 2022 at 5:04PM PDT"
New Tales From The Borderlands Review - Good Stories,PC,1,6,Good,7,3.0,2.0,"Oct 21, 2022","
    Jordan Ramée
  ","October 20, 2022 at 4:00AM PDT"
Gotham Knights Review - Knightfall,XBSX,161,17,Poor,4,2.0,5.0,"Oct 21, 2022","
    Mark Delaney
  ","October 20, 2022 at 4:00AM PDT"
"Uncharted: Legacy Of Thieves Review - Charted, Again",PS5,166,27,Great,8,4.0,2.0,"Jan 28, 2022","
    Alessandro Barbosa
  ","October 18, 2022 at 9:14AM PDT"
A Plague Tale: Requiem Review - Picturesque Terror,PC,53,10,Good,7,4.0,3.0,"Oct 17, 2022","
    Richard Wakeling
  ","October 17, 2022 at 11:04AM PDT"
Scorn Review - Pound Of Flesh,PC,166,12,Poor,4,2.0,3.0,"Oct 14, 2022","
    Alessandro Barbosa
  ","October 14, 2022 at 3:00AM PDT"
PGA Tour 2K23 Review - Links To The Future,XBSX,21,4,Great,8,4.0,3.0,"Oct 11, 2022","
    Steven Petite
  ","October 13, 2022 at 4:10PM PDT"
Grounded Review - Mountains Out Of Molehills,XBSX,10,15,Great,8,4.0,2.0,"Jul 28, 2020","
    Mark Delaney
  ","October 13, 2022 at 11:57AM PDT"
Overwatch 2 Review - Same As It Ever Was,PC,47,10,Great,8,3.0,2.0,"Oct 4, 2022","
    Jessica Howard
  ","October 12, 2022 at 5:45PM PDT"
Lego Bricktales Review: Build Brick Better,PC,1,10,Great,8,3.0,2.0,"Oct 12, 2022","
    Steve Watts
  ","October 12, 2022 at 3:32PM PDT"
"Valkyrie Elysium Review - Putting the ""Mid"" In Midgard",PS5,11,1,Mediocre,5,2.0,2.0,"Sep 29, 2022","
    Heidi Kemps
  ","October 12, 2022 at 2:32PM PDT"
FIFA 23 Review - Football Is Life,PS5,28,4,Good,7,4.0,3.0,"Sep 27, 2022","
    Richard Wakeling
  ","September 30, 2022 at 5:15PM PDT"
Nier: Automata Review,"NS, NS",799,279,Superb,9,4.0,1.0,"Mar 7, 2017","
    GameSpot Staff
  ","September 30, 2022 at 2:15PM PDT"
Potion Permit Review - An Engaging Elixir,NS,1,4,Good,7,4.0,3.0,,"
    Jessica Howard
  ","September 28, 2022 at 2:37PM PDT"
Desta: The Memories Between Review â€“ Dodging Confrontation,IOS,1,3,Good,7,4.0,2.0,2022,"
    Kyle Hilliard
  ","September 27, 2022 at 9:00AM PDT"
Hyper Demon Review - Slayer,PC,1,4,Great,8,4.0,1.0,"Sep 19, 2022","
    Alessandro Barbosa
  ","September 23, 2022 at 2:30PM PDT"
The Diofield Chronicle Review - Forever War,PC,36,7,Mediocre,5,2.0,3.0,"Sep 22, 2022","
    David Wildgoose
  ","September 22, 2022 at 1:12PM PDT"
Shovel Knight Dig Review - Ace Of Spades,PC,2,5,Great,8,4.0,1.0,"Sep 23, 2022","
    Steve Watts
  ","September 22, 2022 at 11:06AM PDT"
Return To Monkey Island Review - Happiness Is A Warm Manatee,PC,14,15,Superb,9,4.0,2.0,"Sep 19, 2022","
    Richard Wakeling
  ","September 19, 2022 at 7:26PM PDT"
Splatoon 3 Review,NS,27,8,Good,7,4.0,3.0,"Sep 9, 2022","
    Steve Watts
  ","September 19, 2022 at 1:51PM PDT"
Tinykin Review - A Charming Collectathon Callback,NS,2,1,Great,8,4.0,2.0,,"
    Jessica Howard
  ","September 15, 2022 at 10:53AM PDT"
NBA 2K23 Review: Like Mike,XBSX,23,4,Great,8,4.0,2.0,"Sep 9, 2022","
    Mark Delaney
  ","September 14, 2022 at 5:49PM PDT"
Metal: Hellsinger Review - Walk With Me In Hell,PC,4,6,Great,8,4.0,2.0,"Sep 15, 2022","
    Richard Wakeling
  ","September 12, 2022 at 6:10PM PDT"
"Kirby's Dream Buffet Review - Good Food, Tiny Portions",NS,2,4,Fair,6,2.0,4.0,"Aug 17, 2022","
    Jessica Howard
  ","September 8, 2022 at 11:10PM PDT"
Steelrising Review - Like Clockwork,PC,14,9,Good,7,3.0,3.0,"Sep 8, 2022","
    Richard Wakeling
  ","September 7, 2022 at 8:36AM PDT"
The Last Of Us Part I Review - Desolation Row,PS5,229,18,Great,8,4.0,2.0,"Jun 14, 2013","
    Jake Dekker
  ","August 31, 2022 at 8:03AM PDT"
Immortality Review - A Most Unusual Camera,PC,10,11,Great,8,4.0,1.0,"Aug 30, 2022","
    Mark Delaney
  ","August 30, 2022 at 1:00AM PDT"
Madden NFL 23 Review - High Upside,XBSX,19,3,Good,7,3.0,3.0,"Aug 16, 2022","
    Mark Delaney
  ","August 24, 2022 at 6:28PM PDT"
Jetpack Joyride 2 Review â€“ Running Up That Hall,IOS,1,5,Good,7,3.0,2.0,"Aug 19, 2022","
    Kyle Hilliard
  ","August 24, 2022 at 12:26PM PDT"
Saints Row Review - Open-World Nostalgia,PC,297,14,Fair,6,4.0,5.0,"Aug 23, 2022","
    Richard Wakeling
  ","August 22, 2022 at 7:00AM PDT"
Midnight Fight Express Review - Streets of Rage,PC,12,3,Great,8,4.0,3.0,"Aug 23, 2022","
    Richard Wakeling
  ","August 18, 2022 at 10:52AM PDT"
"Soul Hackers 2 Review - Amateurs Hack Systems, Professionals Hack People",PS5,25,2,Good,7,3.0,2.0,"Aug 24, 2022","
    Heidi Kemps
  ","August 18, 2022 at 7:03AM PDT"
Cursed To Golf Review - An Ace In The Hole,PC,9,6,Superb,9,5.0,1.0,"Aug 18, 2022","
    Steven Petite
  ","August 18, 2022 at 5:00AM PDT"
We Are OFK Review - Acoustic Resonance,PS5,0,2,Good,7,3.0,2.0,"Aug 18, 2022","
    Jordan Ramée
  ","August 17, 2022 at 9:00AM PDT"
Rollerdrome Review: Skate Or Die,PC,4,6,Great,8,4.0,2.0,"Aug 16, 2022","
    Phil Hornshaw
  ","August 16, 2022 at 6:00AM PDT"
Thymesia Review - Hunter Homage,PC,15,6,Great,8,5.0,3.0,"Aug 18, 2022","
    Phil Hornshaw
  ","August 16, 2022 at 5:00AM PDT"
Digimon Survive Review - Digital Devolution,XONE,9,6,Fair,6,2.0,2.0,"Jul 29, 2022","
    Jordan Ramée
  ","August 15, 2022 at 10:45AM PDT"
Marvel's Spider-Man Remastered PC Review - Amazing Fantasy,"PS4, PC",542,362,Superb,9,6.0,2.0,"Sep 7, 2018","
    Edmond Tran
  ","August 10, 2022 at 5:22PM PDT"
Cult of the Lamb Review - A Cult Classic,PC,34,14,Superb,9,5.0,2.0,"Aug 11, 2022","
    Jessica Howard
  ","August 10, 2022 at 8:05AM PDT"
MultiVersus Review: A Super Smash Hit,PS5,51,13,Great,8,4.0,2.0,"Jul 26, 2022","
    Jason Fanelli
  ","August 5, 2022 at 10:50AM PDT"
Hard West 2 Review - Bouncing Back,PC,2,10,Great,8,4.0,2.0,"Aug 4, 2022","
    David Wildgoose
  ","August 4, 2022 at 9:13AM PDT"
Two Point Campus Review - Old School,PC,4,6,Great,8,4.0,3.0,"Aug 9, 2022","
    Richard Wakeling
  ","August 4, 2022 at 7:00AM PDT"
River City Saga: Three Kingdoms Review – Dynasty Brawlers,PC,10,4,Fair,6,2.0,2.0,"Jul 21, 2022","
    Steve Watts
  ","July 28, 2022 at 12:11PM PDT"
Bear And Breakfast Review - Four Star Stay,PC,1,3,Great,8,3.0,1.0,"Jul 28, 2022","
    Jordan Ramée
  ","July 28, 2022 at 7:00AM PDT"
Forza Horizon 5: Hot Wheels Review - Paradise City,PC,14,3,Good,7,3.0,2.0,"Nov 5, 2021","
    Alessandro Barbosa
  ","July 26, 2022 at 3:46PM PDT"
PowerWash Simulator Review – Filthy Rich,XBSX,1,2,Good,7,3.0,4.0,"May 19, 2021","
    Steve Watts
  ","July 26, 2022 at 8:48AM PDT"
Into The Breach: Advanced Edition Review - A Mechanized Masterpiece,PC,151,83,Essential,10,4.0,1.0,"Feb 27, 2018","
    Edmond Tran
  ","July 25, 2022 at 1:35PM PDT"
Xenoblade Chronicles 3 Review - Masters of War,NS,44,11,Great,8,4.0,2.0,"Jul 29, 2022","
    Jake Dekker
  ","July 26, 2022 at 6:00AM PDT"
"Live A Live Review - Live, Laugh, Love Live A Live",NS,16,6,Great,8,3.0,2.0,"Sep 2, 1994","
    Heidi Kemps
  ","July 21, 2022 at 7:00AM PDT"
Air Twister Review - Repetitious Fantasy,IOS,1,1,Mediocre,5,3.0,2.0,"Jun 24, 2022","
    Kyle Hilliard
  ","July 20, 2022 at 10:32AM PDT"
Stray Review - Nine Lives,PC,97,30,Superb,9,4.0,1.0,"Jul 19, 2022","
    Alessandro Barbosa
  ","July 18, 2022 at 6:20PM PDT"
Poinpy Review - Moving On Up,IOS,3,6,Great,8,3.0,2.0,"Jun 8, 2022","
    Kyle Hilliard
  ","July 18, 2022 at 8:10AM PDT"
Monster Hunter Rise: Sunbreak Review - Sunrise Over The Kingdom,NS,2,5,Great,8,4.0,2.0,"Mar 26, 2021","
    Richard Wakeling
  ","July 14, 2022 at 5:59PM PDT"
As Dusk Falls Review - Family Matters,XBSX,46,20,Superb,9,4.0,1.0,"Jul 19, 2022","
    Mark Delaney
  ","July 18, 2022 at 6:00AM PDT"
Escape Academy Review - I'm An A+ Student,PC,1,2,Good,7,2.0,2.0,"Jun 28, 2022","
    Jordan Ramée
  ","July 13, 2022 at 8:00AM PDT"
OlliOlli World: Void Riders Review - Extra Dimensions,PC,0,1,Great,8,4.0,2.0,"Feb 8, 2022","
    Phil Hornshaw
  ","July 8, 2022 at 12:01PM PDT"
Arcadegeddon Review - A Dubstep In The Wrong Direction,XBSX,0,2,Mediocre,5,2.0,3.0,"Jul 8, 2021","
    Mark Delaney
  ","July 8, 2022 at 9:10AM PDT"
F1 22 Review - Hammer Time,PS5,8,4,Good,7,3.0,3.0,"Jun 28, 2022","
    Alessandro Barbosa
  ","July 7, 2022 at 3:34PM PDT"
Outriders: Worldslayer Review - Pleasantly Altered,PC,8,6,Good,7,3.0,2.0,"Apr 1, 2021","
    Phil Hornshaw
  ","July 1, 2022 at 9:53AM PDT"
DNF Duel Review - Here Comes A New Challenger,PC,8,4,Great,8,3.0,2.0,"Jun 28, 2022","
    Jason Fanelli
  ","June 30, 2022 at 5:25PM PDT"
Nintendo Switch Sports Review – Better Together,NS,23,5,Good,7,3.0,2.0,"Apr 29, 2022","
    Kurt Indovina
  ","June 30, 2022 at 9:32AM PDT"
Tunic Review - Fox Die,PC,22,15,Superb,9,4.0,2.0,"Mar 16, 2022","
    Richard Wakeling
  ","June 29, 2022 at 4:42PM PDT"
Cuphead: The Delicious Last Course Review - More Than A Cherry On Top,PC,24,8,Superb,9,4.0,1.0,"Sep 29, 2017","
    Steven Petite
  ","June 30, 2022 at 6:00AM PDT"
Neon White Review – Heavenly Sprint,PC,3,3,Superb,9,4.0,1.0,"Jun 16, 2022","
    Richard Wakeling
  ","June 29, 2022 at 12:51PM PDT"
Capcom Fighting Collection Review - Family Feud,PS4,1,5,Good,7,3.0,2.0,"Jun 24, 2022","
    Jason Fanelli
  ","June 23, 2022 at 4:57PM PDT"
Disney Mirrorverse Review - Shattered Dreams,IOS,19,3,Poor,4,3.0,3.0,"Jun 23, 2022","
    Jason Fanelli
  ","June 23, 2022 at 9:00AM PDT"
"Sonic Origins Review – Going Fast, Again",PS4,18,5,Good,7,2.0,2.0,"Jun 23, 2022","
    Heidi Kemps
  ","June 22, 2022 at 12:19PM PDT"
Diablo Immortal Review - Evil On The Go,IOS,95,7,Fair,6,4.0,3.0,"Jun 2, 2022","
    Alessandro Barbosa
  ","June 21, 2022 at 4:44PM PDT"
Fire Emblem Warriors: Three Hopes Review – Wars With Friends,NS,6,4,Good,7,3.0,3.0,"Jun 24, 2022","
    Kyle Hilliard
  ","June 21, 2022 at 6:00AM PDT"
Teenage Mutant Ninja Turtles: Shredder's Revenge Review - Turtle Power!,PC,42,12,Great,8,4.0,2.0,"Jun 16, 2022","
    Richard Wakeling
  ","June 16, 2022 at 9:36AM PDT"
Mario Strikers: Battle League Review,NS,32,6,Good,7,4.0,3.0,"Jun 10, 2022","
    Steve Watts
  ","June 8, 2022 at 6:00AM PDT"
The Quarry Review - Summer Scare Fest,PC,16,11,Superb,9,4.0,2.0,"Jun 10, 2022","
    Richard Wakeling
  ","June 8, 2022 at 6:00AM PDT"
"Roller Champions Review - Keep Rollin', Rollin', Rollin'",XONE,2,4,Fair,6,2.0,3.0,"May 25, 2022","
    Jordan Ramée
  ","June 3, 2022 at 3:40PM PDT"
Halo Infinite Multiplayer Review - I Need A Weapon,XBSX,170,29,Good,7,3.0,2.0,"Dec 8, 2021","
    Jordan Ramée
  ","June 3, 2022 at 3:15PM PDT"
Soundfall Review - Not Quite My Tempo,PC,0,2,Mediocre,5,2.0,4.0,"May 11, 2022","
    Alessandro Barbosa
  ","May 27, 2022 at 3:39PM PDT"
Apex Legends Mobile Review - Pocket-Sized Royale,AND,4,5,Good,7,3.0,2.0,"May 17, 2022","
    Jordan Ramée
  ","May 26, 2022 at 7:08PM PDT"
Hatsune Miku Project Diva Megamix+ Review - The Most Miku,PC,2,6,Great,8,3.0,2.0,"May 15, 2020","
    Heidi Kemps
  ","May 26, 2022 at 1:33PM PDT"
Sniper Elite 5 Review - Longer-Range,PC,45,9,Great,8,4.0,3.0,"May 26, 2022","
    Richard Wakeling
  ","May 26, 2022 at 8:00AM PDT"
Evil Dead: The Game Review - Somewhat Groovy,XBSX,32,7,Fair,6,2.0,3.0,"May 13, 2022","
    Mark Delaney
  ","May 20, 2022 at 2:09PM PDT"
Vampire The Masquerade: Swansong Review - That Sinking Feeling,PC,39,6,Poor,4,2.0,3.0,"May 19, 2022","
    David Wildgoose
  ","May 20, 2022 at 12:27PM PDT"
Salt And Sacrifice Review - Mage Hunter,PC,17,3,Good,7,4.0,3.0,"May 10, 2022","
    Richard Wakeling
  ","May 16, 2022 at 1:35PM PDT"
Eiyuden Chronicle: Rising Review - Humble Beginnings,"PC, NS",11,5,Good,7,3.0,2.0,"May 10, 2022","
    Heidi Kemps
  ","May 12, 2022 at 1:50PM PDT"
Trek To Yomi Review - One Samurai,PC,25,3,Mediocre,5,2.0,3.0,"May 5, 2022","
    Richard Wakeling
  ","May 6, 2022 at 8:05AM PDT"
RiffTrax: The Game Review - Dumb Jokes Reign Supreme,PC,0,5,Good,7,3.0,4.0,"May 5, 2022","
    Mat Elfring
  ","May 5, 2022 at 12:48PM PDT"
"Gotta Protectors: Cart of Darkness - Let's Protectorize, Guys!",NS,2,3,Great,8,3.0,2.0,"Apr 14, 2022","
    Heidi Kemps
  ","May 3, 2022 at 11:16AM PDT"
Teardown Review - Came In Like A Wrecking Ball,PC,2,4,Good,7,4.0,3.0,"Apr 21, 2022","
    Alessandro Barbosa
  ","April 28, 2022 at 2:40PM PDT"
Rogue Legacy 2 Review - Grand Lineage,PC,27,6,Superb,9,4.0,1.0,"Aug 18, 2020","
    Richard Wakeling
  ","April 28, 2022 at 8:24AM PDT"
Bugsnax: The Isle of Bigsnax Review - Secret Menu,XBSX,2,3,Good,7,4.0,2.0,"Nov 12, 2020","
    Jason Fanelli
  ","April 28, 2022 at 6:00AM PDT"
The Stanley Parable: Ultra Deluxe Review - A Sequel In All But Name,NS,2,6,Great,8,3.0,1.0,"Apr 27, 2022","
    Jordan Ramée
  ","April 27, 2022 at 9:00AM PDT"
Back 4 Blood: Tunnels Of Terror DLC Review,XBSX,4,7,Good,7,2.0,2.0,"Oct 7, 2021","
    Mark Delaney
  ","April 21, 2022 at 1:08PM PDT"
Road 96 Review - I Would Walk 500 Miles,XBSX,1,8,Fair,6,3.0,3.0,"Aug 16, 2021","
    Alessandro Barbosa
  ","April 19, 2022 at 1:32PM PDT"
Postal 4: No Regerts Review - Nothing But Regrets,PC,123,14,Abysmal,1,2.0,6.0,"Oct 14, 2019","
    Richard Wakeling
  ","April 18, 2022 at 9:53AM PDT"
Cat Cafe Manager Review: Meow We're In Business,PC,6,2,Mediocre,5,2.0,3.0,"Apr 14, 2022","
    Mark Delaney
  ","April 15, 2022 at 10:17AM PDT"
Norco Review - Deep South Dystopia,PC,40,8,Superb,9,3.0,1.0,"Mar 24, 2022","
    Richard Wakeling
  ","April 11, 2022 at 2:50PM PDT"
Lego Star Wars: The Skywalker Saga Review - Duel Of The Bricks,PC,13,3,Good,7,4.0,3.0,"Apr 5, 2022","
    Alessandro Barbosa
  ","April 7, 2022 at 5:04PM PDT"
"13 Sentinels: Aegis Rim Review â€“ Wow, Cool Robot!","PS4, NS",20,31,Superb,9,3.0,1.0,"Sep 22, 2020","
    Heidi Kemps
  ","April 7, 2022 at 2:34PM PDT"
MLB The Show 22 Review - It's Shotime,PS5,36,2,Good,7,3.0,3.0,"Apr 1, 2022","
    Richard Wakeling
  ","April 7, 2022 at 2:31PM PDT"
Chinatown Detective Agency Review - Carmen Singapore,PC,3,4,Good,7,3.0,3.0,"Apr 7, 2022","
    Jordan Ramée
  ","April 6, 2022 at 9:00AM PDT"
Weird West Review - Occult Of Personality,PS4,22,9,Fair,6,,,,,
Tiny Tina's Wonderlands Review - Spells Like Teen Spirit,PC,86,9,Good,7,3.0,5.0,"Mar 25, 2022","
    Darryn Bonthuys
  ","March 23, 2022 at 6:00AM PDT"
Kirby And The Forgotten Land Review - The Best Kirby Yet,NS,51,10,Superb,9,4.0,2.0,"Mar 25, 2022","
    Steven Petite
  ","March 23, 2022 at 5:00AM PDT"
Ghostwire: Tokyo Review - Shibuya Scramble,PS5,63,11,Great,8,4.0,2.0,"Mar 22, 2022","
    Richard Wakeling
  ","March 21, 2022 at 10:41AM PDT"
WWE 2K22 Review - Bad Times Don't Last,PS5,9,8,Good,7,3.0,3.0,"Mar 8, 2022","
    Richard Wakeling
  ","March 16, 2022 at 1:50PM PDT"
Elden Ring Review - Death Of The Wild,PC,778,334,Essential,10,5.0,2.0,"Feb 25, 2022","
    Tamoor Hussain
  ","March 16, 2022 at 10:42AM PDT"
Stranger Of Paradise: Final Fantasy Origin Review - Chaos Incarnate,PS5,52,26,Good,7,4.0,4.0,"Mar 15, 2022","
    Phil Hornshaw
  ","March 15, 2022 at 4:29PM PDT"
Triangle Strategy Review - We're Talking Kings And Successions,NS,41,30,Great,8,4.0,3.0,"Mar 4, 2022","
    Steve Watts
  ","March 11, 2022 at 2:03PM PST"
Destiny 2: The Witch Queen Review - Queen's Gambit,PC,41,46,Superb,9,5.0,1.0,"Sep 6, 2017","
    Phil Hornshaw
  ","March 10, 2022 at 11:20AM PST"
Assassin's Creed Valhalla: Dawn Of Ragnarok Review - Havi'ng A Good Time,XBSX,40,13,Fair,6,2.0,2.0,"Nov 10, 2020","
    Jordan Ramée
  ","March 9, 2022 at 3:50PM PST"
"Puzzle Quest 3 Review - More Puzzle, Less Quest",IOS,2,3,Fair,6,4.0,4.0,"Mar 1, 2022","
    Jason Fanelli
  ","March 9, 2022 at 9:06AM PST"
Gran Turismo 7 Review - Round We Go Again,PS5,161,30,Great,8,6.0,4.0,"Mar 4, 2022","
    Alex Goy
  ","March 7, 2022 at 10:17AM PST"
Total War: Warhammer 3 Review - Bed Of Chaos,PC,29,21,Fair,6,3.0,1.0,"Feb 17, 2022","
    David Wildgoose
  ","March 2, 2022 at 12:25PM PST"
Lost Ark Review - Why'd It Have To Be Snakes,PC,13,13,Good,7,4.0,4.0,"Feb 11, 2022","
    Richard Wakeling
  ","February 24, 2022 at 1:45PM PST"
"Land of Screens Review - Short, Sweet, But Not-So-Subtle",PC,1,5,Fair,6,2.0,3.0,"Feb 4, 2022","
    Jessica Howard
  ","February 22, 2022 at 5:13PM PST"
Final Fantasy 7: The First Soldier Review - Straining At The Seams,AND,35,18,Good,7,4.0,3.0,"Nov 17, 2021","
    Phil Hornshaw
  ","February 16, 2022 at 12:55PM PST"
The King Of Fighters XV Review - Wanna Play Some KoF?,PS5,15,12,Good,7,3.0,2.0,"Feb 14, 2022","
    Heidi Kemps
  ","February 16, 2022 at 7:33AM PST"
Grapple Dog Review - Bionic Commandog,NS,9,6,Good,7,3.0,3.0,"Feb 10, 2022","
    Steve Watts
  ","February 15, 2022 at 2:17PM PST"
Horizon Forbidden West Review - Squad Goals,PS5,329,83,Great,8,5.0,4.0,"Feb 18, 2022","
    Phil Hornshaw
  ","February 14, 2022 at 12:01AM PST"
Dying Light 2 Review: Look Before You Leap,XBSX,240,75,Fair,6,2.0,4.0,"Feb 4, 2022","
    Mark Delaney
  ","February 8, 2022 at 3:09PM PST"
Sifu Review - I Know Kung Fu,PS5,105,39,Superb,9,4.0,3.0,"Feb 6, 2022","
    Richard Wakeling
  ","February 6, 2022 at 10:02AM PST"
OlliOlli World Review — Half-Pipe Heaven,PS5,3,11,Superb,9,5.0,1.0,"Feb 8, 2022","
    Phil Hornshaw
  ","February 3, 2022 at 6:00AM PST"
Pokemon Legends: Arceus Review – What? Pokemon Is Evolving!,NS,77,58,Great,8,3.0,2.0,"Jan 28, 2022","
    Steve Watts
  ","January 26, 2022 at 6:00AM PST"
Pupperazzi Review - More Rough Than Ruff,XONE,5,9,Mediocre,5,2.0,4.0,"Jan 20, 2022","
    Jessica Howard
  ","January 21, 2022 at 12:51PM PST"
Windjammers 2 Review - Spin To Win,"PS5, PS4",2,5,Good,7,3.0,2.0,"Jan 20, 2022","
    Heidi Kemps
  ","January 20, 2022 at 1:00AM PST"
Rainbow Six Extraction Review - Breach And Clear,XBSX,16,16,Good,7,3.0,3.0,"Jan 20, 2022","
    Jordan Ramée
  ","January 19, 2022 at 3:01AM PST"
Nobody Saves The World Review - Creature Comforts,XBSX,14,15,Superb,9,4.0,1.0,"Jan 18, 2022","
    Steve Watts
  ","January 18, 2022 at 11:48AM PST"
Rocket League Sideswipe Review — Pocket Rocket,PC,10,21,Superb,9,4.0,1.0,"Jul 7, 2015","
    Phil Hornshaw
  ","January 13, 2022 at 4:32PM PST"
"God Of War Review: Out With The Old, In With The New","PS4, PC",1008,480,Superb,9,6.0,1.0,"Apr 20, 2018","
    Peter Brown
  ","January 12, 2022 at 8:00AM PST"
Monster Hunter Rise Review - Standing Tall,"NS, PC",160,39,Superb,9,4.0,2.0,"Mar 26, 2021","
    Richard Wakeling
  ","January 11, 2022 at 9:37AM PST"
The Gunk Review - All Gunked Up,XONE,44,13,Fair,6,3.0,3.0,"Dec 16, 2021","
    Richard Wakeling
  ","December 22, 2021 at 1:16PM PST"
"Final Fantasy XIV Endwalker Review - That, I Can't Deny",PC,37,26,Great,8,4.0,4.0,"Aug 27, 2013","
    Jenny Zheng
  ","December 21, 2021 at 11:57AM PST"
Ruined King: A League Of Legends Story Review -- We Are The Champions,PS4,6,10,Great,8,4.0,2.0,"Nov 16, 2021","
    Jason Fanelli
  ","December 14, 2021 at 2:36PM PST"
Shovel Knight: Pocket Dungeon Review -- Dig Deep,NS,2,7,Great,8,4.0,1.0,,"
    Steve Watts
  ","December 14, 2021 at 8:24AM PST"
Halo Infinite Campaign Review - What If Master Chief Was Daddy,XBSX,242,83,Superb,9,4.0,1.0,"Dec 8, 2021","
    Jordan Ramée
  ","December 6, 2021 at 12:01AM PST"
Big Brain Academy: Brain Vs. Brain Review,NS,2,3,Good,7,3.0,2.0,"Dec 3, 2021","
    Steve Watts
  ","December 1, 2021 at 11:20AM PST"
Solar Ash Review - Ash Wins-day,"PC, PS5",10,14,Great,8,4.0,1.0,"Dec 2, 2021","
    Andrew King
  ","December 1, 2021 at 9:29AM PST"
Pokemon Brilliant Diamond / Shining Pearl Review,NS,42,28,Good,7,3.0,3.0,"Nov 19, 2021","
    Steve Watts
  ","November 24, 2021 at 8:44AM PST"
